Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Purdue,Big Ten,Hit By Pitch (300 ranked),51.0,,10.0,Ball St.,86.0
Nebraska,Big Ten,,49.0,,14.0,,
UCLA,Big Ten,,49.0,,14.0,,
Iowa,Big Ten,,48.0,,16.0,,
Illinois,Big Ten,,47.0,,19.0,,
Oregon,Big Ten,,46.0,,23.0,,
Indiana,Big Ten,,40.0,,47.0,,
Northwestern,Big Ten,,39.0,,50.0,,
Maryland,Big Ten,,36.0,,65.0,,
Wisconsin,Big Ten,,35.0,,73.0,,
Minnesota,Big Ten,,34.0,,83.0,,
Ohio St.,Big Ten,,33.0,,92.0,,
Michigan St.,Big Ten,,32.0,,101.0,,
Washington,Big Ten,,32.0,,101.0,,
Michigan,Big Ten,,30.0,,117.0,,
Rutgers,Big Ten,,28.0,,146.0,,
Penn St.,Big Ten,,24.0,,189.0,,
Ohio St.,Big Ten,Hits (300 ranked),491.0,,9.0,Florida St.,510.0
UCLA,Big Ten,,488.0,,11.0,,
Nebraska,Big Ten,,487.0,,12.0,,
Oregon,Big Ten,,486.0,,14.0,,
Indiana,Big Ten,,474.0,,20.0,,
Michigan,Big Ten,,446.0,,32.0,,
Penn St.,Big Ten,,427.0,,50.0,,
Wisconsin,Big Ten,,408.0,,74.0,,
Purdue,Big Ten,,381.0,,112.0,,
Washington,Big Ten,,371.0,,126.0,,
Illinois,Big Ten,,358.0,,159.0,,
Northwestern,Big Ten,,348.0,,180.0,,
Iowa,Big Ten,,337.0,,197.0,,
Maryland,Big Ten,,325.0,,216.0,,
Rutgers,Big Ten,,318.0,,224.0,,
Minnesota,Big Ten,,317.0,,227.0,,
Michigan St.,Big Ten,,287.0,,265.0,,
Michigan St.,Big Ten,Hits Allowed Per Seven Innings (300 ranked),9.34,,51.0,Mississippi Val.,16.44
Minnesota,Big Ten,,8.55,,103.0,,
Penn St.,Big Ten,,8.44,,112.0,,
Rutgers,Big Ten,,8.41,,116.0,,
Wisconsin,Big Ten,,8.35,,120.0,,
Ohio St.,Big Ten,,7.93,,152.0,,
Maryland,Big Ten,,7.86,,157.0,,
Illinois,Big Ten,,7.79,,166.0,,
Indiana,Big Ten,,7.64,,175.0,,
Northwestern,Big Ten,,7.17,,212.0,,
Purdue,Big Ten,,6.57,,253.0,,
Iowa,Big Ten,,6.41,,261.0,,
Washington,Big Ten,,6.1,,272.0,,
Michigan,Big Ten,,6.01,,274.0,,
Nebraska,Big Ten,,5.67,,285.0,,
UCLA,Big Ten,,5.61,,288.0,,
Oregon,Big Ten,,4.97,,299.0,,
Ohio St.,Big Ten,Home Runs (300 ranked),134.0,,1.0,Ohio St.,134.0
Nebraska,Big Ten,,98.0,,3.0,,
UCLA,Big Ten,,83.0,,9.0,,
Oregon,Big Ten,,74.0,,14.0,,
Penn St.,Big Ten,,72.0,,17.0,,
Washington,Big Ten,,67.0,,28.0,,
Indiana,Big Ten,,61.0,,40.0,,
Michigan,Big Ten,,61.0,,40.0,,
Wisconsin,Big Ten,,53.0,,54.0,,
Michigan St.,Big Ten,,49.0,,66.0,,
Illinois,Big Ten,,44.0,,80.0,,
Northwestern,Big Ten,,42.0,,84.0,,
Minnesota,Big Ten,,36.0,,110.0,,
Maryland,Big Ten,,30.0,,137.0,,
Iowa,Big Ten,,29.0,,143.0,,
Purdue,Big Ten,,22.0,,180.0,,
Rutgers,Big Ten,,17.0,,221.0,,
Ohio St.,Big Ten,Home Runs per game (300 ranked),2.44,,1.0,Ohio St.,2.44
Nebraska,Big Ten,,1.96,,3.0,,
UCLA,Big Ten,,1.48,,12.0,,
Penn St.,Big Ten,,1.44,,14.0,,
Oregon,Big Ten,,1.4,,18.0,,
Washington,Big Ten,,1.34,,25.0,,
Indiana,Big Ten,,1.24,,37.0,,
Michigan,Big Ten,,1.15,,42.0,,
Michigan St.,Big Ten,,1.09,,48.0,,
Wisconsin,Big Ten,,1.0,,60.0,,
Northwestern,Big Ten,,0.89,,80.0,,
Illinois,Big Ten,,0.88,,83.0,,
Minnesota,Big Ten,,0.72,,115.0,,
Maryland,Big Ten,,0.61,,136.0,,
Iowa,Big Ten,,0.56,,152.0,,
Purdue,Big Ten,,0.44,,185.0,,
Rutgers,Big Ten,,0.3,,241.0,,
Indiana,Big Ten,On Base Percentage (300 ranked),0.463,,1.0,Indiana,0.463
Ohio St.,Big Ten,,0.452,,2.0,,
UCLA,Big Ten,,0.445,,8.0,,
Oregon,Big Ten,,0.443,,9.0,,
Nebraska,Big Ten,,0.434,,16.0,,
Penn St.,Big Ten,,0.41,,31.0,,
Iowa,Big Ten,,0.39,,67.0,,
Michigan,Big Ten,,0.385,,80.0,,
Wisconsin,Big Ten,,0.383,,85.0,,
Northwestern,Big Ten,,0.379,,102.0,,
Washington,Big Ten,,0.379,,104.0,,
Purdue,Big Ten,,0.377,,111.0,,
Maryland,Big Ten,,0.361,,165.0,,
Illinois,Big Ten,,0.353,,189.0,,
Michigan St.,Big Ten,,0.353,,193.0,,
Minnesota,Big Ten,,0.351,,200.0,,
Rutgers,Big Ten,,0.328,,252.0,,
Ohio St.,Big Ten,RBIs Per Game (300 ranked),8.07,,1.0,Ohio St.,8.07
Nebraska,Big Ten,,7.32,,4.0,,
UCLA,Big Ten,,7.16,,7.0,,
Oregon,Big Ten,,7.09,,8.0,,
Indiana,Big Ten,,6.86,,14.0,,
Penn St.,Big Ten,,5.98,,29.0,,
Washington,Big Ten,,5.62,,40.0,,
Michigan,Big Ten,,5.06,,72.0,,
Wisconsin,Big Ten,,4.96,,75.0,,
Northwestern,Big Ten,,4.66,,97.0,,
Michigan St.,Big Ten,,4.22,,144.0,,
Purdue,Big Ten,,4.22,,146.0,,
Illinois,Big Ten,,4.1,,158.0,,
Iowa,Big Ten,,4.1,,159.0,,
Maryland,Big Ten,,3.92,,172.0,,
Minnesota,Big Ten,,3.72,,196.0,,
Rutgers,Big Ten,,2.79,,274.0,,
Ohio St.,Big Ten,Runs Batted In (299 ranked),444.0,,1.0,Ohio St.,444.0
UCLA,Big Ten,,401.0,,3.0,,
Oregon,Big Ten,,376.0,,8.0,,
Nebraska,Big Ten,,366.0,,9.0,,
Indiana,Big Ten,,336.0,,18.0,,
Penn St.,Big Ten,,299.0,,36.0,,
Washington,Big Ten,,281.0,,56.0,,
Michigan,Big Ten,,268.0,,66.0,,
Wisconsin,Big Ten,,263.0,,67.0,,
Northwestern,Big Ten,,219.0,,122.0,,
Iowa,Big Ten,,213.0,,135.0,,
Purdue,Big Ten,,211.0,,138.0,,
Illinois,Big Ten,,205.0,,146.0,,
Maryland,Big Ten,,192.0,,174.0,,
Michigan St.,Big Ten,,190.0,,180.0,,
Minnesota,Big Ten,,186.0,,188.0,,
Rutgers,Big Ten,,156.0,,243.0,,
Ohio St.,Big Ten,Scoring (300 ranked),8.49,,1.0,Ohio St.,8.49
Nebraska,Big Ten,,8.18,,3.0,,
Oregon,Big Ten,,7.98,,4.0,,
Indiana,Big Ten,,7.73,,7.0,,
UCLA,Big Ten,,7.57,,11.0,,
Penn St.,Big Ten,,6.68,,25.0,,
Washington,Big Ten,,5.92,,57.0,,
Michigan,Big Ten,,5.66,,71.0,,
Northwestern,Big Ten,,5.43,,86.0,,
Wisconsin,Big Ten,,5.26,,95.0,,
Purdue,Big Ten,,4.84,,130.0,,
Michigan St.,Big Ten,,4.58,,156.0,,
Illinois,Big Ten,,4.48,,166.0,,
Iowa,Big Ten,,4.46,,170.0,,
Maryland,Big Ten,,4.27,,188.0,,
Minnesota,Big Ten,,4.04,,208.0,,
Rutgers,Big Ten,,3.14,,278.0,,
UCLA,Big Ten,Shutouts (268 ranked),16.0,,6.0,Texas Tech,20.0
Michigan,Big Ten,,13.0,,18.0,Virginia Tech,20.0
Oregon,Big Ten,,13.0,,18.0,,
Washington,Big Ten,,13.0,,18.0,,
Iowa,Big Ten,,11.0,,30.0,,
Purdue,Big Ten,,11.0,,30.0,,
Nebraska,Big Ten,,10.0,,38.0,,
Ohio St.,Big Ten,,9.0,,49.0,,
Indiana,Big Ten,,8.0,,64.0,,
Maryland,Big Ten,,7.0,,82.0,,
Minnesota,Big Ten,,7.0,,82.0,,
Northwestern,Big Ten,,6.0,,106.0,,
Penn St.,Big Ten,,5.0,,139.0,,
Rutgers,Big Ten,,5.0,,139.0,,
Wisconsin,Big Ten,,4.0,,170.0,,
Michigan St.,Big Ten,,3.0,,210.0,,
Illinois,Big Ten,,2.0,,240.0,,
Ohio St.,Big Ten,Slugging Percentage (300 ranked),0.708,,1.0,Ohio St.,0.708
Nebraska,Big Ten,,0.647,,3.0,,
Indiana,Big Ten,,0.623,,6.0,,
UCLA,Big Ten,,0.602,,8.0,,
Oregon,Big Ten,,0.59,,12.0,,
Penn St.,Big Ten,,0.578,,15.0,,
Washington,Big Ten,,0.511,,42.0,,
Wisconsin,Big Ten,,0.498,,54.0,,
Michigan,Big Ten,,0.492,,56.0,,
Northwestern,Big Ten,,0.466,,81.0,,
Michigan St.,Big Ten,,0.443,,103.0,,
Illinois,Big Ten,,0.423,,126.0,,
Purdue,Big Ten,,0.408,,153.0,,
Iowa,Big Ten,,0.403,,161.0,,
Maryland,Big Ten,,0.401,,166.0,,
Minnesota,Big Ten,,0.391,,187.0,,
Rutgers,Big Ten,,0.321,,278.0,,
Oregon,Big Ten,Stolen Bases per Game (300 ranked),2.94,,5.0,Prairie View,3.56
Northwestern,Big Ten,,1.77,,30.0,,
Indiana,Big Ten,,1.71,,36.0,,
Purdue,Big Ten,,1.7,,37.0,,
